40	2738	223.018076	143
40	17771	201.3137915	153
47	12302	1393.982017	109
59	2012	2045.206286	60
89	6083	991.3995489	95
104	17920	348.476073	85
113	18741	489.2304733	79
129	800	1144.555654	92
129	13989	1187.76036	88
276	11429	258.2638388	120
291	11640	609.1228933	106
324	179	587.5711629	131
333	12447	249.2339178	206
357	14737	439.7466056	131
375	179	572.1284582	129
379	2968	1314.605326	97
379	17559	1207.544485	105
390	8215	189.7736324	132
400	14571	186.0862164	158
413	1526	573.592567	82
416	11860	892.6471838	136
426	13078	398.4187006	112
450	11213	504.4108811	100
450	15484	643.1047452	100
476	1838	1240.331195	73
479	11796	284.3012892	170
480	150	272.393631	119
512	9180	412.9764631	103
522	15642	339.0566445	138
565	13782	2376.04441	96
580	9319	268.1490626	230
584	19933	2003.319681	70
651	7477	227.0727327	172
659	6012	206.7670965	144
665	7374	529.7435994	81
693	11397	442.3534595	142
693	16985	498.4483764	137
713	9550	187.9679391	169
724	13552	612.8849431	121
732	15779	719.3180783	125
759	4987	540.6542342	100
765	14845	434.8606588	71
766	54	899.1712673	123
797	5479	190.0311818	260
839	18300	369.8090139	104
871	14139	213.4587152	235
915	5030	437.6408505	165
915	7132	438.8043406	159
915	10892	276.6110882	169
915	13559	403.4384317	159
930	17663	364.3326412	120
992	11442	1331.946459	77
992	13047	1684.164476	76
999	19989	221.5160698	161
1013	11397	617.4980884	133
1013	16985	671.8409379	134
1015	1389	956.7428513	110
1015	11766	706.828255	123
1041	7099	218.3525562	162
1042	9750	294.8310681	130
1049	15460	786.142368	101
1049	16992	737.0529174	87
1068	10803	296.0513421	162
1100	20109	1529.965154	98
1107	160	245.7533967	103
1111	8250	706.1467252	131
1111	19770	437.3114968	149
1163	2917	205.1368105	154
1169	4058	572.2073006	131
1174	10793	672.7406366	124
1178	5118	770.3325564	142
1181	9919	484.7109911	147
1181	19885	370.8040088	182
1183	7352	298.9771947	122
1190	5504	1283.05657	89
1194	4987	695.2421899	81
1195	11677	354.1633343	117
1195	14218	383.2539354	106
1202	8284	315.0651193	110
1245	5830	696.0013438	126
1245	18220	470.5536851	137
1245	18662	620.8114237	124
1245	19206	508.8676434	133
1257	19944	755.4402032	140
1299	14154	378.4099335	182
1309	3439	340.0783642	164
1327	6591	681.1116633	119
1327	10654	1081.648886	119
1355	11764	215.2197996	129
1363	19944	734.0130976	138
1367	3192	443.1058686	159
1385	10674	1584.892256	93
1411	18338	416.3655164	119
1442	6237	453.5014776	76
1477	11116	266.5142183	129
1478	1295	360.4037767	91
1478	3314	406.115751	81
1478	16085	366.1767827	90
1479	11640	636.7143685	104
1484	10050	628.2033175	102
1502	11213	533.124226	108
1502	15484	768.7669639	81
1504	6422	227.4658818	201
1507	6122	790.22302	104
1552	15627	620.5544838	88
1561	9251	692.2068698	96
1584	18059	237.2826892	175
1608	6122	921.9432301	105
1613	6169	206.9650868	219
1635	13745	297.1274345	109
1639	4398	645.8415358	128
1660	11860	1076.555818	136
1667	8504	400.5723081	161
